source,target,weight
sociologist,negro,1
social,unclear,1
soldier,shoulder,1
soldier,benefit,1
soldier,care,1
soldier,chanc,1
soldier,chang,1
soldier,drink,1
soldier,drop,1
soldier,feel,1
soldier,funni,1
soldier,head,1
soldier,learn,1
soldier,live,2
soldier,matter,1
soldier,mind,1
soldier,mix,3
soldier,mix,1
soldier,narrow,1
soldier,negro,1
soldier,obei,1
soldier,offend,1
soldier,oper,1
soldier,outfit,4
soldier,overlook,1
soldier,overrun,1
soldier,peopl,1
soldier,prejudic,1
soldier,privileg,1
soldier,section,1
soldier,separ,2
soldier,separ,1
soldier,seper,1
soldier,slower,1
soldier,soldier,1
soldier,south,1
soldier,southern,1
soldier,superior,1
soldier,tend,1
soldier,unclear,2
soldier,white,2
soldier,would not,1
soldier,gather,1
soldier,negro,1
soldier,wood,1
sort,avers,1
sort,disagr,1
sort,feel,1
sort,inborn,1
sort,independ,1
southern,negro,1
southern,soldier,1
south,explain,2
south,fellow,1
south,hate,1
south,lot,1
south,negro,1
southern,attitud,1
southern,bear,1
southern,boi,3
southern,includ,1
southern,negro,1
southern,northern,1
southern,obei,1
southern,peopl,3
southern,prejudic,1
southern,race,1
southern,resent,1
southern,soldier,3
southern,soldier,1
southern,white,1
southern,white,1
southern,boi,1
southern,mix,1
southern,soldier,1
southern,feel,1
southern,hell,1
southern,mix,1
southern,northern,1
southern,outfit,1
southern,white,1
southern,acquaint,1
southern,courtmarti,1
special,soldier,1
special,trait,1
spirit,soldier,1
spirit,white,1
spirit,white,1
squabbl,account,1
squabbl,differ,1
squabbl,racial,1
stand,chanc,1
stand,negro,1
stand,negro,1
standard,hygen,1
standard,live,1
standard,live,2
standard,white,2
standpoint,southern,1
start,fight,4
start,friction,1
