FIPS,State Name,State,Food Insecurity Rate,# of Food Insecure Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure Children in HH w/HH Incomes Below 185 FPL,% food insecure Children in HH w/HH Incomes Above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall,Year
51,Virginia,VA,0.112,935480,1.3,SNAP,1.85,Other Nutrition Program,0.487578569290632,0.184707316030273,0.327863770470774,0.144,268670,0.64,0.36,3.03,508587000,2015
53,Washington,WA,0.128,915550,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.694391349462072,,0.305608650537928,0.19,306560,0.64,0.36,2.98,489610000,2015
54,West Virginia,WV,0.149,275280,1.3,SNAP,1.85,Other Nutrition Program,0.526845393780878,0.170190351641965,0.30227404824179,0.208,79050,0.68,0.32,2.68,132485000,2015
55,Wisconsin,WI,0.11,633170,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.700680701865218,,0.299319298134782,0.17,219280,0.65,0.35,2.71,307507000,2015
56,Wyoming,WY,0.123,72260,1.3,SNAP,1.85,Other Nutrition Program,0.419042347079989,0.171048989759203,0.410047052311099,0.169,23550,0.56,0.44,3.01,38980000,2015
1,Alabama,AL,0.165,800620,1.3,SNAP,1.85,Other Nutrition Program,0.528090729684495,0.162636456746022,0.308960555569434,0.225,247140,0.71,0.29,2.97,406639000,2016
2,Alaska,AK,0.134,99650,1.3,SNAP,1.85,Other Nutrition Program,0.425990968389363,0.151028600100351,0.422980431510286,0.186,34800,0.58,0.42,3.44,58525000,2016
4,Arizona,AZ,0.149,1033590,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.668301744405422,,0.331736955659401,0.227,370960,0.68,0.32,2.87,506275000,2016
5,Arkansas,AR,0.172,515270,1.3,SNAP,1.85,Other Nutrition Program,0.540279853280804,0.159372756030819,0.300425019892484,0.232,163800,0.72,0.28,2.8,246776000,2016
6,California,CA,0.117,4574710,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.768564564748367,,0.231444178975279,0.19,1731270,0.67,0.33,3.16,2473458000,2016
8,Colorado,CO,0.113,627480,1.3,SNAP,1.85,Other Nutrition Program,0.471632561994008,0.145566392554344,0.382960413080895,0.151,190780,0.61,0.39,3.19,342520000,2016
9,Connecticut,CT,0.116,414730,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.566657825573265,,0.433342174426736,0.156,117380,0.63,0.37,3.19,226249000,2016
10,Delaware,DE,0.12,114370,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.643000786919647,,0.356999213080353,0.168,34240,0.64,0.36,3.12,60902000,2016
11,District of Columbia,DC,0.124,84380,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.721972031287035,,0.278027968712965,0.222,26800,0.69,0.31,3.67,52881000,2016
12,Florida,FL,0.139,2871650,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.722852715337872,,0.277154249299183,0.207,857150,0.69,0.31,3.17,1557049000,2016
13,Georgia,GA,0.151,1561360,1.3,SNAP,1.85,Other Nutrition Program,0.532567761438746,0.15241199979505,0.31514833222319,0.209,523470,0.69,0.31,2.93,781043000,2016
15,Hawaii,HI,0.118,168030,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.554960423733857,,0.445039576266143,0.178,54650,0.46,0.54,3.27,93916000,2016
16,Idaho,ID,0.132,221800,1.3,SNAP,1.85,Other Nutrition Program,0.48990081154193,0.170649233543733,0.339449954914337,0.167,72840,0.68,0.32,2.93,111122000,2016
17,Illinois,IL,0.11,1413420,1.65,SNAP,1.85,Other Nutrition Program,0.644734049327164,0.0571804559154391,0.298142095060209,0.157,459330,0.68,0.32,2.77,669207000,2016
