dpid,full_address
380910000004,"1762 143RD AVE NE, HATTON, ND, 58240"
380910000060,"13919 17TH ST NE, HATTON, ND, 58240"
380910000021,"14227 17TH ST NE, HATTON, ND, 58240"
380630006589,"11337 32ND ST NE, MICHIGAN, ND, 58259"
380910000077,"1685 140TH AVE NE, HATTON, ND, 58240"
380910000091,"14082 17TH ST NE, HATTON, ND, 58240"
380910000111,"14232 17TH ST NE, HATTON, ND, 58240"
380910000085,"13931 16TH ST NE, HATTON, ND, 58240"
380910000103,"1625 142ND AVE NE, HATTON, ND, 58240"
380910000162,"14039 15TH ST NE, HATTON, ND, 58240"
380910000130,"14313 16TH ST NE, HATTON, ND, 58240"
380910000154,"14131 15TH ST NE, HATTON, ND, 58240"
380910000175,"1589 139TH AVE NE, HATTON, ND, 58240"
380910000227,"14325 14TH ST NE, HATTON, ND, 58240"
380910000189,"1411 138TH AVE NE, HATTON, ND, 58240"
380670001513,"15257 91ST ST NE, HAMILTON, ND, 58238"
380670001515,"15201 91ST ST NE, HAMILTON, ND, 58238"
380670001509,"9178 152ND AVE NE, HAMILTON, ND, 58238"
380670001531,"15072 91ST ST NE, HAMILTON, ND, 58238"
380910000243,"109 6TH ST, HATTON, ND, 58240"
