Number of states within the category,State/ Country,Sub-categories,Tool,Name of tool,Variables Used (list all that apply),Geographic Levels,Data Sources-Census,Data Sources-Non Census,Direct links to Census,Census link,Frequency,Age of data,Historical data,Data Linkage,Citation,Notes,
,Hawaii,Housing Characteristics,Table Download,"Demographic, Social, Economic, and Housing Characteristics for Selected Race Groups in Hawaii (March 2018)","Households by type, Housing Tenure, Value, Housing units with a mortgage, Gross rent",State,ACS,,N,N,As released,2015,N,N,N,,
,Hawaii,Housing Characteristics,Report,"HSDC 2013-1 Selected Population and Housing Characteristics by County, Island and Census Tract for the State of Hawaii: 2007-2011 (February 2013)","Median Household Income, Median Value for Owner-Occupied Housing Units","Island, County, Census Tract",ACS,,N,N,As released,2011,N,N,N,,
,Hawaii,Housing Characteristics,Report,"Geographic Area (PUMA) Statistics:Income, Employment, Education, and Housing Characteristics, 2005 to 2008 (February 2011)","Housing characteristics: 2005 to 2008 (% of total housing units), Housing occupancy, Selected monthly owner costs for the housing units","County, PUMA",ACS,,N,N,As released,2008,N,N,N,,
,Hawaii,Housing Units,"Report, Table Download",Housing Units by County: 2000 to 2019,Housing units,"State, Island",Census Bureau,,N,N,As released,2019,Y,N,N,,
,Hawaii,Housing Units,Table Download,DBEDT/State Data Center Highlights & Housing Table,Housing units,"State, Island",Census Bureau,,N,N,As released,2022,Y,N,N,,
,Hawaii,Housing Units,Table Download,Annual Estimates of Housing Units for Counties in the State of Hawaii,housing unit estimate,"State, County",Census Bureau,,N,N,As released,2022,Y,N,N,,
,Hawaii,Housing Units,Table Download,"Housing Unit Estimates for the 100 Fastest Growing Counties With 5,000 or More Housing Units",housing unit estimate,County,Census Bureau,,N,N,As released,2022,Y,N,N,,
,Hawaii,Housing Units,Map,Median Value of Owner-Occupied Housing Units (by Census Tract),Median Value of Owner-Occupied Housing,"Island, Census tract",ACS,,N,N,As released,2011,N,N,N,,
,Hawaii,Occupancy,Map,"Owner-Occupied Housing in Percentage (by Census Tract, 2010 Census)",Percent Owner-Occupied Housing,"Island, Census tract",Decennial Census,,N,N,As released,2010,N,N,N,,
,Hawaii,Housing Prices / Rent,Data Visualization,Housing Market Dashboard,"Number of sales by residency of buyers, Number of sales and average sales price, Median price of home resales, Private building permits",County,,,N,N,As released,,N,N,N,,
0,Idaho,,,,,,,,N,N,,,N,N,N,,
0,Illinois,,,,,,,,N,N,,,N,N,N,,
,Indiana,Housing Units,Table,Indiana's Census 2020 Redistricting Data Dashboard,"Total housing units, Occupied housing units, Vacant housing units",State,Decennial Census,,N,N,As released,2020,,N,N,,
,Indiana,Estimates,Table Download,LENGTH OF RESIDENTIAL STAY BY OCCUPANCY TYPE,Estimate,"State, County",ACS,,N,N,As released,2016,N,N,N,,
,Indiana,Estimates,Table Download,MEDIAN MONTHLY HOME OWNER COSTS,Estimate,"State, County",ACS,,N,N,As released,2016,N,N,N,,
,Indiana,Housing Prices / Rent,Table Download,RENT COST BURDEN LEVELS,Estimate,"State, County",ACS,,N,N,As released,2016,N,N,N,,
