"","x"
"1450",1777657
"1451",7582470
"1452",3994309
"1453",1582339
"1454",8082330
"1455",31764672
"1456",59423033
"1457",108461838
"1458",53890867
"1459",8471063
"1460",88888237
"1461",215392096
"1462",207563089
"1463",32151472
"1464",30862074
"1465",78131241
"1466",31605277
"1467",108489340
"1468",1376011
"1469",6777886
"1470",83125726
"1471",4710768
"1472",198068499
"1473",57384361
"1474",699089
"1475",209771962
"1476",212070779
"1477",32602694
"1478",210046683
"1479",7997051
"1480",212349676
"1481",53913539
"1482",89078142
"1483",215162278
"1484",6812219
"1485",8929093
"1486",194225500
"1487",67418307
"1488",218585472
"1489",196724214
"1490",30304958
"1491",53395726
"1492",44760775
"1493",37320273
"1494",16787959
"1495",210028185
"1496",30574058
"1497",37073070
"1498",198185434
"1499",34846201
"1500",221291571
"1501",8929970
"1502",141483047
"1503",97576997
"1504",31876944
"1505",44386282
"1506",19405445
"1507",16509198
"1508",97475142
"1509",4740589
"1510",195203592
"1511",93732583
"1512",4931994
"1513",35882997
"1514",36142199
"1515",220423794
"1516",33030890
"1517",8796475
"1518",8583782
"1519",2319431
"1520",1533441
"1521",144493194
"1522",37157522
"1523",30155188
"1524",108536092
"1525",20006177
"1526",33933455
"1527",220714194
"1528",15555200
"1529",7982699
"1530",97417637
"1531",9107275
"1532",15673410
"1533",195601572
"1534",8028706
"1535",144577879
"1536",5995272
"1537",32113913
"1538",214230432
"1539",32060922
"1540",2322201
"1541",210801264
"1542",141837028
"1543",16442021
"1544",97460269
"1545",217020006
"1546",192587134
"1547",56219617
"1548",52236060
"1549",30140457
"1550",97572661
"1551",219044650
"1552",699144
"1553",31429025
"1554",215928899
"1555",17921329
"1556",17082850
"1557",65029654
"1558",1813532
"1559",8014728
"1560",1859849
"1561",6166203
"1562",51247538
"1563",16207305
"1564",42104964
"1565",8093206
"1566",90383665
"1567",16328381
"1568",73964177
"1569",222315624
"1570",57283764
"1571",67229290
"1572",83176961
"1573",21179526
"1574",37439487
"1575",21151756
"1576",210635155
"1577",44772574
"1578",31255732
"1579",212099095
"1580",7221392
"1581",218192491
"1582",135069052
"1583",54602030
"1584",1690097
"1585",18995341
"1586",193795339
"1587",31357686
"1588",1201811
"1589",44838020
"1590",4794310
"1591",21148254
"1592",16339792
"1593",82980175
"1594",32372578
"1595",17865046
"1596",7096815
"1597",217986416
"1598",8004523
"1599",311529
"1600",2335272
"1601",65050185
"1602",30586096
"1603",214340092
"1604",9942666
"1605",212235887
"1606",88684456
"1607",7424042
"1608",9802567
"1609",97403992
"1610",197731965
"1611",141773279
"1612",15696162
"1613",86041072
"1614",53935028
"1615",90333413
"1616",5745041
"1617",8179139
"1618",1656585
"1619",7473468
"1620",208985757
"1621",21012279
"1622",37361595
"1623",108469884
"1624",8536171
