"state","year","per_change","11","13","15","17","19","21","23","25","27","29","31","33","35","37","39","41","43","45","47","49","51","53","55","<NA>"
"Florida",2013,-68.7,"11.28","6.22","8.06","1.97","0.55","0.97","1.84","2.57","2.38","11.73","2.22","1.01","5.30","1.42","2.71","15.07","11.74","0.06","1.24","3.29","1.96","3.46","0.07","2.85"
"Florida",2014,-71.8,"10.65","6.03","8.59","1.98","0.67","1.10","1.49","2.45","2.38","12.08","2.39","1.03","5.53","1.65","3.39","14.23","11.33","0.07","1.31","3.35","1.98","3.64","0.07","2.60"
"Florida",2015,-71.32,"10.88","6.96","9.38","2.17","0.61","1.05","0.85","2.00","1.98","17.24","2.53","1.22","4.17","1.26","1.66","12.47","11.60","0.04","0.96","3.17","1.64","3.39","0.06","2.69"
"Florida",2016,-71.9,"10.68","6.68","8.10","2.11","0.63","1.03","0.74","1.60","1.85","16.75","2.33","1.29","5.37","1.27","1.36","13.09","11.84","0.04","1.10","3.42","1.81","4.17","0.05","2.67"
"Florida",2017,-72.31,"10.27","6.81","8.55","2.22","0.61","0.99","0.67","1.78","1.85","16.80","2.57","1.42","5.60","1.37","1.48","11.98","12.09","0.05","1.10","3.14","1.94","4.00","0.07","2.66"
"Florida",2018,-71.43,"10.48","6.48","9.03","2.30","0.63","1.04","0.79","2.37","1.89","12.29","2.42","1.39","5.41","1.92","2.47","12.20","12.13","0.06","1.41","3.63","2.14","4.57","0.07","2.87"
"Florida",2019,-63.62,"10.07","6.55","10.00","2.49","0.61","1.11","0.87","2.22","1.97","10.92","2.42","1.49","5.94","2.16","2.43","11.83","12.03","0.08","1.52","3.82","2.15","4.39","0.08","2.86"
"Georgia",2010,-66.62,"13.32","7.13","17.55","2.71","0.71","1.10","1.11","2.01","2.57","11.94","2.03","0.75","1.76","0.71","1.26","12.99","8.71","0.03","0.74","3.45","1.61","3.65","0.04","2.13"
"Georgia",2011,-54.36,"13.86","7.50","16.64","2.94","0.63","0.88","1.18","2.08","2.15","10.05","1.77","0.70","2.13","0.95","1.53","13.27","9.23","0.04","0.98","3.47","2.10","3.80","0.07","2.06"
"Georgia",2012,-59.71,"12.32","7.14","14.98","2.97","0.67","0.93","1.50","2.73","2.20","9.84","1.91","0.90","2.91","1.34","2.02","11.43","9.41","0.08","1.33","3.81","2.66","4.59","0.07","2.26"
"Georgia",2013,-60.08,"12.39","6.64","12.63","2.70","0.59","0.79","1.24","2.78","2.48","9.37","1.59","0.88","4.29","1.16","2.70","13.49","9.58","0.06","1.09","3.39","2.47","4.97","0.09","2.65"
"Georgia",2014,-64.74,"12.03","6.48","12.69","2.74","0.66","0.84","0.92","2.54","2.29","9.98","1.64","0.94","4.58","1.22","2.91","13.37","9.52","0.05","0.85","3.13","2.61","5.27","0.09","2.66"
"Georgia",2015,-71.11,"11.90","7.31","14.51","2.83","0.65","0.75","0.76","2.12","2.06","13.38","1.76","1.25","3.05","0.96","1.36","12.06","8.92","0.06","0.67","3.13","2.03","6.15","0.08","2.25"
"Georgia",2016,-69,"11.57","6.75","11.29","2.63","0.67","0.72","0.69","1.84","1.92","13.85","1.72","1.13","4.13","1.05","0.93","12.17","9.27","0.07","0.80","3.37","2.25","8.63","0.08","2.47"
"Georgia",2017,-70.19,"10.71","6.41","11.07","2.54","0.64","0.77","0.46","1.81","2.05","15.84","1.85","0.97","4.40","1.06","1.02","10.86","9.50","0.06","0.83","3.18","2.28","9.20","0.09","2.40"
"Georgia",2018,-71.16,"11.40","6.61","13.09","2.54","0.63","0.86","0.53","2.48","2.05","12.58","1.77","1.09","4.00","1.43","1.81","10.54","9.56","0.07","0.99","3.41","2.48","7.38","0.06","2.63"
"Georgia",2019,-63.71,"11.12","6.74","13.50","2.92","0.64","0.97","0.56","2.21","2.08","12.03","2.00","1.02","4.16","1.61","1.60","10.16","9.46","0.10","1.04","3.58","2.51","7.19","0.10","2.71"
"Hawaii",2010,-67.93,"10.60","6.36","7.80","2.86","1.20","1.39","0.65","3.12","2.00","14.30","2.75","1.42","3.81","1.82","2.16","12.66","13.15","0.07","1.08","3.05","1.31","3.19","0.09","3.16"
"Hawaii",2011,-58.4,"11.13","6.23","6.73","2.26","0.94","1.17","0.47","2.77","2.25","10.36","2.58","1.13","5.01","2.08","3.19","15.98","13.05","0.09","1.45","3.21","1.41","3.63","0.11","2.76"
"Hawaii",2012,-51.82,"9.64","5.60","6.21","2.30","0.73","1.22","0.62","3.36","2.48","8.31","2.68","1.19","6.41","2.54","3.58","14.59","13.94","0.13","1.79","3.53","1.65","4.38","0.14","2.98"
"Hawaii",2013,-67.14,"10.47","6.28","6.52","2.35","0.97","1.32","1.01","2.75","2.58","8.98","1.88","1.41","5.68","2.19","3.45","15.56","13.86","0.07","0.98","3.44","1.21","3.54","0.24","3.25"
