Maintainer.email.domain,email.domain_count,email.domain_unique_name
uiuc.edu,1,1
lctools.science,2,1
stat.washington.edu,2,2
advantaseeds.com,1,1
maths.lth.se,1,1
exeter.ac.uk,3,2
kcl.ac.uk,1,1
cau.edu.cn,2,1
allenday.com,1,1
meduniwien.ac.at,7,3
alumni.epfl.ch,1,1
univpm.it,1,1
mskcc.org,4,3
ird.fr,7,5
coh.org,1,1
vu.nl,2,2
prf.jcu.cz,1,1
mail2.sysu.edu.cn,2,2
imbie.uni-bonn.de,2,1
hydro.tuwien.ac.at,3,1
steinbuss.de,1,1
brocku.ca,1,1
thinknum.com,1,1
fsu.edu,1,1
cipf.es,1,1
uantwerp.be,1,1
unige.ch,8,7
waikato.ac.nz,1,1
urmc.rochester.edu,2,2
bryer.org,5,1
psy.lmu.de,1,1
ipc.unicancer.fr,1,1
sas.upenn.edu,3,1
utstat.utoronto.ca,1,1
ceremade.dauphine.fr,3,2
seznam.cz,3,3
kaust.edu.sa,1,1
dnc-llc.com,1,1
list.lu,1,1
