individual_id,YEAR,family_interview_id,psid_state_of_residence_code,family_composition_change,age,sex,number_of_children_in_fu,1968_family_identifier,marital_status,health_status,race,religion,wtr_donated,wtr_donated_to_health_org,amt_of_health_donations,total_donation_amt,total_family_income,wealth_wo_equity,wealth_with_equity,weight,year,health_donation_adj,total_donation_adj,family_income_adj,wealth_adj
145170,2001,366.0,32.0,0.0,39.0,1.0,2.0,145.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,300.0,59000.0,2150.0,2150.0,21.77,1999,0.0,466.0462184873949,91655.756302521,3339.9978991596636
151030,2001,121.0,4.0,2.0,27.0,1.0,0.0,151.0,2.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,170000.0,70000.0,95000.0,19.728,1999,0.0,0.0,264092.85714285716,147581.3025210084
156001,2001,364.0,29.0,0.0,57.0,1.0,0.0,156.0,1.0,2.0,1.0,1.0,1.0,5.0,0.0,500.0,78700.0,32000.0,152000.0,59.375,1999,0.0,776.7436974789915,122259.45798319328,236130.08403361344
156030,2001,777.0,29.0,1.0,32.0,1.0,1.0,156.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,1000.0,86050.0,70000.0,140000.0,32.823,1999,0.0,1553.487394957983,133677.59033613445,217488.23529411765
157171,2001,106.0,32.0,0.0,49.0,1.0,0.0,157.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,61400.0,9700.0,42700.0,21.944,1999,0.0,0.0,95384.12605042016,66333.91176470587
165176,2001,2622.0,24.0,4.0,28.0,1.0,0.0,165.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,66000.0,3000.0,3000.0,13.716,1999,0.0,0.0,102530.1680672269,4660.462184873949
166021,2001,6171.0,1.0,1.0,51.0,1.0,2.0,166.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,550.0,97193.0,420000.0,600000.0,34.86,1999,0.0,854.4180672268907,150988.10037815126,932092.43697479
173170,2001,1117.0,14.0,1.0,48.0,1.0,4.0,173.0,1.0,3.0,1.0,8.0,5.0,0.0,0.0,0.0,41278.0,17500.0,30500.0,23.751,1999,0.0,0.0,64124.852689075626,47381.36554621848
173172,2001,5323.0,14.0,0.0,44.0,1.0,3.0,173.0,1.0,3.0,1.0,1.0,5.0,0.0,0.0,0.0,39000.0,20200.0,65200.0,27.274,1999,0.0,0.0,60586.008403361346,101287.3781512605
174005,2001,727.0,14.0,0.0,47.0,1.0,3.0,174.0,1.0,1.0,1.0,1.0,1.0,1.0,75.0,1875.0,79185.0,63500.0,120500.0,22.735,1999,116.51155462184873,2912.7888655462184,123012.8993697479,187195.23109243697
174170,2001,5319.0,26.0,0.0,55.0,1.0,0.0,174.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,1220.0,117500.0,99000.0,164000.0,26.091,1999,0.0,1895.2546218487394,182534.768907563,254771.93277310926
176170,2001,799.0,45.0,0.0,54.0,1.0,0.0,176.0,1.0,2.0,1.0,1.0,1.0,5.0,0.0,1500.0,126955.0,672500.0,672500.0,28.57,1999,0.0,2330.2310924369744,197222.99222689075,1044720.2731092437
180003,2001,2530.0,31.0,8.0,50.0,1.0,3.0,180.0,1.0,2.0,7.0,1.0,1.0,5.0,0.0,500.0,44240.0,6800.0,6800.0,26.114,1999,0.0,776.7436974789915,68726.28235294117,10563.714285714284
181003,2001,4452.0,31.0,0.0,43.0,1.0,2.0,181.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,200.0,55649.0,19000.0,105000.0,22.305,1999,0.0,310.69747899159665,86450.02004201681,163116.17647058822
181021,2001,978.0,18.0,0.0,58.0,1.0,0.0,181.0,4.0,3.0,1.0,8.0,1.0,5.0,0.0,500.0,26174.0,19500.0,19500.0,43.333,1999,0.0,776.7436974789915,40660.97907563025,30293.004201680673
186003,2001,856.0,9.0,0.0,54.0,2.0,0.0,186.0,4.0,2.0,1.0,8.0,1.0,5.0,0.0,400.0,67000.0,23000.0,59000.0,65.527,1999,0.0,621.3949579831933,104083.65546218488,91655.756302521
190004,2001,3534.0,37.0,0.0,41.0,2.0,1.0,190.0,2.0,2.0,1.0,8.0,5.0,0.0,0.0,0.0,30000.0,1000.0,1000.0,61.053,1999,0.0,0.0,46604.621848739494,1553.487394957983
190030,2001,4118.0,37.0,1.0,23.0,1.0,2.0,190.0,1.0,2.0,1.0,8.0,5.0,0.0,0.0,0.0,25300.0,16100.0,20100.0,31.387,1999,0.0,0.0,39303.231092436974,31225.09663865546
190173,2001,2244.0,37.0,0.0,44.0,1.0,0.0,190.0,1.0,2.0,1.0,1.0,1.0,5.0,0.0,850.0,81000.0,454000.0,495000.0,26.437,1999,0.0,1320.4642857142856,125832.47899159664,768976.2605042016
197170,2001,297.0,0.0,0.0,52.0,1.0,4.0,197.0,1.0,3.0,1.0,2.0,1.0,5.0,0.0,2100.0,25500.0,300.0,300300.0,28.049,1999,0.0,3262.323529411765,39613.928571428565,466512.26470588235
200004,2001,1610.0,46.0,0.0,42.0,1.0,1.0,200.0,1.0,1.0,1.0,2.0,1.0,1.0,50.0,3400.0,76290.0,476000.0,686000.0,26.248,1999,77.67436974789916,5281.857142857142,118515.55336134453,1065692.3529411766
200030,2001,2282.0,46.0,8.0,22.0,1.0,1.0,200.0,2.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,34000.0,-4588.0,-4588.0,12.489,1999,0.0,0.0,52818.57142857143,-7127.400168067227
203172,2001,3477.0,31.0,0.0,41.0,1.0,4.0,203.0,1.0,2.0,1.0,1.0,1.0,5.0,0.0,2800.0,120800.0,269000.0,514000.0,27.89,1999,0.0,4349.764705882352,187661.27731092437,798492.5210084033
214003,2001,3106.0,22.0,1.0,34.0,1.0,1.0,214.0,1.0,1.0,1.0,8.0,1.0,1.0,175.0,1155.0,163250.0,562000.0,710000.0,22.668,1999,271.860294117647,1794.2779411764704,253606.81722689077,1102976.0504201679
218001,2001,2852.0,39.0,0.0,56.0,1.0,0.0,218.0,2.0,4.0,1.0,8.0,1.0,5.0,0.0,200.0,150020.0,-386500.0,-255500.0,50.821,1999,0.0,310.69747899159665,233054.17899159665,-396916.0294117647
220002,2001,2012.0,4.0,0.0,38.0,1.0,1.0,220.0,1.0,4.0,1.0,1.0,1.0,5.0,0.0,170.0,76000.0,-11800.0,-11800.0,24.228,1999,0.0,264.0928571428571,118065.04201680672,-18331.1512605042
222031,2001,7215.0,24.0,1.0,27.0,2.0,0.0,222.0,2.0,2.0,1.0,0.0,1.0,1.0,200.0,500.0,34475.0,21400.0,97400.0,39.573,1999,310.69747899159665,776.7436974789915,53556.47794117647,151309.67226890757
222032,2001,369.0,24.0,0.0,25.0,1.0,0.0,222.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,10000.0,78500.0,93500.0,28.276,1999,0.0,0.0,15534.873949579833,145251.07142857142
223030,2001,1482.0,4.0,0.0,31.0,1.0,0.0,223.0,1.0,1.0,1.0,8.0,1.0,1.0,100.0,750.0,40100.0,-17500.0,-17500.0,15.318,1999,155.34873949579833,1165.1155462184872,62294.84453781512,-27186.029411764706
